Year,Average Temperature
1987,16.52915254237288
1988,17.149344262295084
1989,16.92639344262295
1990,16.65566666666667
1991,16.53142857142857
1992,17.56661290322581
1993,16.871
1994,16.610535714285714
1995,16.966382978723406
1996,17.529454545454545
1997,17.292280701754386
1998,15.678235294117648
1999,15.328311688311688
2000,15.567160493827162
2001,15.515416666666667
2002,15.600366972477065
2003,16.063663366336634
2004,15.837692307692306
2005,15.756039603960396
2006,15.905360824742267
2007,15.92049504950495
2008,16.093
2009,15.911621621621622
2010,15.434519230769231
2011,15.400377358490566
2012,16.22570093457944
2013,16.51861386138614
2014,17.32
2015,17.408990825688072
2016,16.69373831775701
2017,17.098144329896908
2018,16.692282608695653
2019,16.184731182795698
2020,17.096363636363638
2021,16.175862068965518
2022,16.90505376344086
2023,16.157777777777778
2024,16.685425531914895
